street,state,city,postcode,safety_flag
9121 State Route 94 W,KY,Murray,42071,FALSE
822 E Washington Ave Apt 403,WI,Madison,53703,FALSE
1808 Wilson Road,MD,Huntingtown,20639,FALSE
157 Bishop Rd,NC,Roanoke Rapids,27870-9234,FALSE
117 Georgetown Dr,FL,Casselberry,32707-6123,FALSE
58 Larson Dr,RI,Warwick,2886,FALSE
4376 Snow Mtn Ct,GA,Powder Springs,30127-8217,FALSE
17 Harmony Ln,NY,Glen Cove,11542-3451,FALSE
974 lee creek road,ID,Leadore,83464,FALSE
330 Lansdowne rd,RI,Warwick,2888,FALSE
13047 Florida Blvd,LA,Baton Rouge,70814,FALSE
116-38 196 street,NY,st. Albans,11412,FALSE
1307 Toplea Dr,TX,Euless,76040-4980,FALSE
6016 Brigids Close Drive,OH,Dublin,43017,FALSE
1648 Jolie Cv,MS,Hernando,38632,FALSE
337 Brighton Ave,KY,Bowling Green,42101-9087,FALSE
1953 Neptune Dr,GA,Augusta,30906-5140,FALSE
1535 De La Vina St,CA,Chula Vista,91913,FALSE
1416 Rudy St,KY,Paducah,42001-2472,FALSE
6703 Sunnyland Ln,TX,Dallas,75214-3128,FALSE
1333 Santa Barbara blvd,FL,Cape Coral,33991,FALSE
1313 Sandra Ln,TX,Grand Prairie,75052-2011,FALSE
15425 goodhue st,CA,whittier,90604,FALSE
629 stanbridge rd,PA,Morton,19070,FALSE
2313 West 53rd Place,FL,Hialeah,33016,FALSE
1 Ryley Court,CA,ALISO VIEJO,92656,FALSE
135 okolona cut off rd,MS,Houston,38851,FALSE
284 Cherry Lane,KY,Frankfort,40601,FALSE
7395 70th Ave N,FL,Pinellas Park,33781-3712,FALSE
2761 North Springfield Street,AZ,Buckeye,85396,FALSE
605 Turka Dr,VA,Sandston,23150-3235,FALSE
427 Walnut St,MI,Wyandotte,48192-4308,FALSE
600 S Riggs St,IA,Lone Tree,52755-7797,FALSE
2255 Hudson Circle,IL,Aurora,60502,FALSE
"23 Beekman Ave, Jg Deli",NY,Sleepy Hollow,10591-2661,FALSE
899 Nantucket Court,NJ,Toms River,8753,FALSE
10818 Detroit Ave,TX,Lubbock,79423,FALSE
3308 Dale Dr,MO,Imperial,63052-1014,FALSE
230 Schaefer St,NY,Brooklyn,11207-9336,FALSE
2225 Beaver Run Rd SE,OH,Hebron,43025-9546,FALSE
14279 So Bella Vea Dr,UT,Herriman,84096,FALSE
2620 Spring St,IL,Quincy,62301-3655,TRUE
68 Upper Hollow Rd,VT,Stowe,05672-4518,FALSE
12 W Walnut St Apt 6,MA,Milford,01757-2459,FALSE
1 woods trail,NJ,Andover,7821,FALSE
1249 Osprey Way,FL,Apopka,32712-2372,FALSE
3602 Rowlock Vine Dr,TX,Houston,77084-6123,FALSE
1194 Clayburn Ln,CA,San Jose,95121-2606,FALSE
84 Rio Serena Ave,CA,Campbell,95008,FALSE
224 East 28 Street,NY,New York,10016,FALSE
7 Roosevelt St,MA,New Bedford,02744-2445,FALSE
3702 Ruette San Raphael,CA,San Diego,92130-8606,FALSE
8625 Spring Creek Ct,VA,Springfield,22153-3727,FALSE
25653 Sun Ave,CA,Loma Linda,92354-2017,FALSE
6619 Oleander ave,CA,Fontana,92336,TRUE
4321 Canvasback Ln,TX,Sachse,75048-3939,FALSE
2401 Adam's Ave,IA,Des Moines,50310,FALSE
1701 Terrace Ave,CA,Colton,92324-1333,FALSE
2840 Ocean Pkwy,NY,Brooklyn,11235-7956,FALSE
2840 Ocean Parkway,NY,Brooklyn,11235,FALSE
9913 Pinnacle Pass Dr,NV,Las Vegas,89117-5999,FALSE
808 nw 121st terr,OK,Oklahoma city,73114,FALSE
263 Peddlers Rd,CT,Guilford,6437,FALSE
224 Morris Road,GA,Thomson,30824,FALSE
1386 Peachtree Battle Ave NW,GA,Atlanta,30327-1424,TRUE
28518 Faircrest Way,CA,Escondido,92026,FALSE
4523 W Runyon Lake Dr,IN,Greenwood,46143-9003,FALSE
5858 SW 68th St,FL,South Miami,33143-3693,FALSE
101 Gayle Ln,KY,Elkton,42220,FALSE
6433 Garrison Ct,CO,Fort Collins,80528,FALSE
521 Clubview Drive,AL,Glencoe,35905,FALSE
1400 Kentfield Avenue,CA,Redwood City,94061,FALSE
1015 Pfingsten Rd,IL,Glenview,60025-2518,FALSE
23 summerfield blvd,NJ,Dayton,8810,TRUE
10608 348’Th Ave SE,WA,Snoqualmie,98065,FALSE
819 South Maguire,MO,WARRENSBURG,64093,FALSE
245 ne 14 st,FL,Miami,33132,FALSE
1513 Wheeler,CA,Salinas,93906,FALSE
13444 Vergennes St,MI,Lowell,49331-9600,FALSE
424 Indian Pl,TX,El Paso,79907-4208,FALSE
200 E Broadway,CA,Glendale,91205-1078,FALSE
15903 Cerca Blanca Drive,TX,Houston,77083,FALSE
5926 Forest Rdg,TX,San Antonio,78240-3352,FALSE
1500 November Cir,MD,Silver Spring,20904-6952,FALSE
23706 Cameron Ct,CA,Valencia,91354-2613,FALSE
11484 Caraway Ct,CA,Fontana,92337,FALSE
115 East Franklin Avenue,DE,New Castle,19720,FALSE
759 Wyngate Dr E,NY,Valley Stream,11580-1440,FALSE
9811 e jewell 8-102,CO,Aurora,80247,FALSE
1659 N Piccadilly Ln,CA,Clovis,93619,FALSE
4520 Cadillac Pl,MI,Saginaw,48604-1034,FALSE
4248 Littlecrest Rd,TX,Houston,77093-3821,FALSE
351 Southwest 30th Avenue,FL,Fort Lauderdale,33312,FALSE
497 W Shannon St,AZ,Chandler,85225-6737,FALSE
11822 Avon Way,CA,Los Angeles,90066,FALSE
7415 Celeste Lane,FL,Tampa,33619,FALSE
1020 Chaucer Ct,IL,Elgin,60120-7140,FALSE
2501 Sheffield Dr,FL,Deltona,32738-8864,FALSE
11933 Jim Webb Dr,TX,El Paso,79934-3147,FALSE
3000 North Pointe Drive,MI,Jackson,49202,FALSE
3669 Thomas Ave Apt 6,FL,Miami,33133-5747,FALSE
960 Erika Lane,GA,Grovetown,30813,FALSE
1845 Strathmore Ave,CA,San Gabriel,91776-3816,FALSE
504 5th Ave S,WA,SEATTLE,98104,FALSE
950 E. Main Street,GA,Cartersville,30121,FALSE
1731 Beachwood Rd,NC,Mooresboro,28114-8804,FALSE
21158 Eagle Ridge Court,TX,San Antonio,78258,FALSE
128 West 9th Ave,OH,Columbus,43201,FALSE
303 College Ave,MO,Potosi,63664,FALSE
24062 Poppystone Dr,VA,Moreno Valley,92551-7604,FALSE
1313 I M Terrell Cir N,TX,Fort Worth,76102-5798,FALSE
2937 N Bristol St,CA,Santa Ana,92706-1010,FALSE
259 Karrass Rd,TX,Kingsbury,78638-1605,FALSE
9011 Lincoln Center Ct,CA,Bakersfield,93311-8804,FALSE
607 Butler Ave,NJ,Point Pleasant Boro,08742-2818,FALSE
5751 Westview Dr,FL,Orlando,32810-3940,FALSE
303 Larson Ave.,FL,Brandon,33510,FALSE
6984 Columbia Court,FL,Margate,33063,FALSE
11045 Strathmore Dr,CA,Los Angeles,90024-2317,FALSE
5416 n mink creek,ID,meridian,83646,FALSE
200 East Broadway,CA,Glendale,91205,FALSE
2269 Backwater Ct,FL,oviedo,32766,FALSE
423 11th St SW,NM,Albuquerque,87102-2991,FALSE
623 N Pine St,MI,Evart,49631-9526,FALSE
618 N Jackson St,IN,Rushville,46173-1535,FALSE
33217 Magee Mahner rd,LA,Talisheek,70464,FALSE
1345 Piketown Rd,PA,Harrisburg,17112-9009,FALSE
126 airport rd,PA,SHIPPENSBURG,17257-9467,FALSE
9695 S Wolfe Rd,CA,French Camp,95231-9611,FALSE
3905 5th Avenue,IL,Moline,61265,FALSE
328 W Vuelta Friso,AZ,Sahuarita,85629,FALSE
2636 Carmen Dr,TX,Grand Prairie,75052,FALSE
3756 Dover Dr.,TX,Odessa,79762,FALSE
447 S Grand View St,CA,Los Angeles,90057-2860,FALSE
1139 Princeton Kenly Rd,NC,Kenly,27542-8391,FALSE
1902 Bay Laurel Dr,TX,Weatherford,76086-6140,FALSE
13111 123rd Lane NE,WA,Kirkland,98034,FALSE
4908 Mokupea Pl,HI,Ewa Beach,96706-3159,FALSE
73 Green St,MA,Woburn,01801-4438,FALSE
3 General Patton Dr,MA,Hyannis,02601-2624,FALSE
15 Preakness Dr,RI,Lincoln,02865-4549,FALSE
208 notch rd,PA,duncannon,17020,FALSE
503 clermont dr,PA,Harrisburg,17112,FALSE
137 Woods Edge Drive,PA,Hummelstown,17036,FALSE
253 Grindstone Hill Rd,CT,North Stonington,06359-1107,FALSE
201 Rawson Rd,MA,Brookline,2445,FALSE
5448 Siletz Lane,OR,Albany,97321,FALSE
367 Basswood Ln,TX,Melissa,75454-2139,FALSE
3000 Saint Charles Ave,LA,New Orleans,70115,FALSE
5522 121st Street Ct E,WA,Puyallup,98373-8840,FALSE
1323 NW 16th Ave,OR,Portland,97209,FALSE
2793 Sandusky ave east,FL,Jacksonville,32216,FALSE
45 Princeton Pl,NY,Buffalo,14210-2321,FALSE
8147 S. Bishop,IL,Chicago,60620,FALSE
53557 Highway 12,NE,Bloomfield,68718-4020,FALSE
200 Hickory,IL,Kincaid,62540,FALSE
2511 Mershon St,MI,Saginaw,48602-5261,FALSE
5049 South Lindenwood,AZ,Mesa,85212,FALSE
92 Spanish Trl,MO,Saint Peters,63376-1158,FALSE
7406 83rd dr ne,WA,Marysville,98270,FALSE
389 Bradley Rd 48,AR,Hermitage,71647,FALSE
4008 Buckingham Dr,OH,Brunswick,44212,FALSE
374 Skyline Dr,NY,Staten Island,10304,FALSE
1280 W Carla Vista Dr,AZ,Chandler,85224,FALSE
1 Central St,ME,Bangor,04401-5105,FALSE
3255 W 83rd St,IL,Chicago,60652-3312,FALSE
17510 Madison Street,NE,Omaha,68135,FALSE
3276 Paddock Circle,TX,Flower Mound,75022,FALSE
37 Hull St,RI,Jamestown,02835-2652,FALSE
443 Stella Drive,DE,Hockessin,19707,FALSE
5035 Kitchener Dr,OH,Toledo,43615,FALSE
3348 Mosswood Ln,GA,Rex,30273-2169,FALSE
3305 North Casaloma Drive,WI,Appleton,54913,FALSE
7825 Clarksworth Place,MD,Parkville,21234,FALSE
1220 Earl St,MN,Saint Paul,55106-2005,FALSE
16220 Hill Forest Dr,MI,Linden,48451-8932,FALSE
817 Sylvia Dr,FL,Deltona,32725,FALSE
40 Main Street,NY,Brooklyn,11201,FALSE
28027 Pastor Ct,MD,Mechanicsville,20659,FALSE
4019 Hunters Green Dr,KY,Florence,41042,FALSE
6815 70TH ST SW,MN,HOWARD LAKE,55349,FALSE
401 5th St,IA,Kalona,52247-9587,FALSE
907 5th St NW,MN,Pipestone,56164,FALSE
557 Bellflower Way,FL,Clermont,34715,FALSE
81 Hideaway St,VT,Hardwick,05843-9689,FALSE
1356 Lakeside Dr,NY,Wantagh,11793-2438,FALSE
1636 Garden St.,CA,San Luis Obispo,93401,FALSE
5237 Clark St,CA,Lynwood,90262,FALSE
226 Chelsea Rd,VT,Brookfield,05036-9654,FALSE
2854 Corpus Christi St,CA,Simi Valley,93063-1904,FALSE
2426 Northwest Sunny Lane,OR,Albany,97321,FALSE
1512 charolais dr,TX,austin,78758,FALSE
1771 Starkey St,HI,Wahiawa,96786,FALSE
807 Sun Valley Way,NJ,Florham Park,7932,FALSE
3501 SW 110 ave,FL,Miami,33165,FALSE
1024 Victoria Blake Lane,NC,Belmont,28012,FALSE
6314 Blue Ridge Dr,IL,Plainfield,60586-5595,FALSE
502 W Newton St,NC,Spencer,28159-2422,FALSE
107 West 11th Street,CO,Pueblo,81003,FALSE
28381 Glenview Rd,TX,Rio Hondo,78583-3559,FALSE
8562 Eucalyptus St,CA,Downey,90242-3618,FALSE
7486 McKinley Ave,CA,San Bernardino,92410-4328,FALSE
6150 Kenton Oaks Ct,GA,Lithonia,30058-3943,FALSE
8808Thousand Thousand Oaks Court,FL,Tampa,33634,FALSE
1201 Love St,MI,Midland,48642,TRUE
3329 De Reimer ave.,NY,Bronx,10475,FALSE
359 Rosemont Dr,FL,Fort Myers,33916-2838,FALSE
10165 Saigon Dr,TX,El Paso,79925,FALSE
2202 Cottonwood Dr,IL,Joliet,60432-3117,FALSE
437 W Carson St Spc 38A,CA,Carson,90745-6892,FALSE
35743 Huff Rd,FL,Eustis,32736-9356,FALSE
17552 Vandenberg Ln,CA,Tustin,92780-2047,FALSE
55 500 West,UT,Salt Lake City,84101,FALSE
91north marin St,NY,Liberty Ny,12754,FALSE
312 E Cedar Ave,CA,Burbank,91502-1463,FALSE
7115 SW 161st Pl,FL,Miami,33193-3499,FALSE
4746 rocky knob lane,IN,indianapolis,46254,FALSE
3437 NW 43rd Pl,FL,Fort Lauderdale,33309,FALSE
1601 Windermere Cir,SD,Brookings,57006,FALSE
13923 Woodbreeze St,TX,San Antonio,78217-1459,FALSE
1043 High St,PA,Lancaster,17603-5407,FALSE
19361 Brookhurst St Spc 146,CA,Huntington Beach,92646-2970,FALSE
6500 67th ave north,MN,Minneapolis,55428,FALSE
16265 Via Ultimo,CA,Moreno Valley,92551-1602,FALSE
376 Virginia Ave,MI,Algonac,48001-1150,FALSE
23725 Schooner Dr,CA,Canyon Lake,92587-7464,FALSE
4799 Stillhouse Rd,VA,Hume,22639,FALSE
1010 havard,TX,Huffman,77336,FALSE
166 Daventry Dr,AL,Calera,35040-4919,FALSE
1 Shadywood Pl,SC,Simpsonville,29681,FALSE
636 Woodcock Rd,NC,Henrico,27842-9610,FALSE
119 Chancery Court,TN,Piney Flats,37686,FALSE
396 Clarkson Street,MA,Fall River,2724,FALSE
319 Lake Avenue,NJ,Colonia,7067,FALSE
5560 Via Cantada,CA,Yorba Linda,92887,TRUE
2432 Oaktree Pl,OH,Cincinnati,45238-2963,FALSE
10740 Knollwood Lane,MN,Woodbury,55129,FALSE
406 Wallace Ave,IN,Indianapolis,46201-3726,FALSE
16418 Bougainvilla Ln,TX,Friendswood,77546-3106,FALSE
967 Camden dr,TX,Lewisville,75067,FALSE
5467 Timberland Dr,AL,Satsuma,36572-2447,FALSE
20665 SW Sister Ln,OR,Beaverton,97003-8151,FALSE
145 W 58th St,NY,New York,10019-1529,FALSE
73 S GOSE STREET,WA,WALLA WALLA,99362,FALSE
6127 Morton St,PA,Philadelphia,19144-1002,FALSE
6655 FM 92,TX,Silsbee,77656-9448,FALSE
8533 W 90th Ter,KS,Overland Park,66212-3053,FALSE
524 W Arapaho Ave,OK,Weatherford,73096-4720,FALSE
213 Spring Brae Ct,PA,Bellefonte,16823-8648,FALSE
314 Pond View Ct,MD,Forest Hill,21050,FALSE
15513 Bay View Cir,TX,Bullard,75757-9501,FALSE
4450 N 42nd St,WI,Milwaukee,53209-5824,FALSE
10300 johanna ave,CA,sunland,91040,TRUE
3317 Loreauville Rd Lot 2,LA,New Iberia,70563,FALSE
1612 North Woodlawn Avenue,LA,Metairie,70001,FALSE
7 Cyril Drive,NY,Huntington,11743,FALSE
128 Ewbank rd,NC,Etowah,28729,FALSE
557 Miller Ave,NY,Brooklyn,11207-5505,FALSE
1821 N Zaragoza Rd,TX,El Paso,79936-8090,FALSE
25 pleasant dr,NY,Norfolk,13667,FALSE
Twin Lake Apts 31790 US Highway 19 N Apt 217,FL,Palm Harbor,34684-3721,FALSE
357 Rose Hill Rd,NC,Asheville,28803-8542,FALSE
1816 Arbordale Way,TX,Princeton,75407,FALSE
6766 Moccasin St,MI,Westland,48185-2809,FALSE
12253 Carmel Vista Road,CA,San Diego,92130,FALSE
43581 Tirano Dr,CA,Temecula,92592-4387,FALSE
341 Glensford Ct,OH,Cincinnati,45246-2376,FALSE
8601 ice house drive,TX,north richland hills,76180,FALSE
1627 W 1st street,KY,Owensboro,42301,FALSE
6172 Shadow Tree Ln,FL,Lake Worth,33463-8234,TRUE
15042 sw 9th terrace,FL,Miami,33194,FALSE
730 CHRYSLER AVE,DE,NEWARK,19711,FALSE
6446 Eagle Feather Trl,CO,Littleton,80125-8310,FALSE
18 Center St,NH,Wolfeboro,03894-4324,FALSE
3627 sugarhill,TX,San Antonio,78230,FALSE
6727 Britton Ave,OH,Cincinnati,45227,FALSE
1164 S Browne Ave,TX,Brownsville,78521-9481,FALSE
143 Lbj Dr,TN,Gallatin,37066-8455,FALSE
4812 McCloud Drive,CA,Sacramento,95842,FALSE
106 W 15th St,CA,Antioch,94509,FALSE
251 Tuscany Pointe Ave,FL,Orlando,32807-6186,FALSE
2940 SW 31st Ct,KS,Topeka,66614,FALSE
7591 Bell Vine Ct,WI,Verona,53593-9411,FALSE
4110 Sharon View Road,NC,Charlotte,28226,FALSE
819 N Kenmore St,VA,Arlington,22201-2224,FALSE
8 Southside Ave,PA,Dallas,18612-1131,FALSE
1919 Fruitdale Ave,CA,San Jose,95128,FALSE
1215 Lassen St,CA,Vallejo,94591-4851,FALSE
2683 East 64th Street,NY,brooklyn,11234,FALSE
30 Tinker Dr,NJ,Mount Holly,08060-1159,FALSE
5194 Wades Gap Rd,VA,Boones Mill,24065-4190,FALSE
5458 Friarsway Dr,FL,Tampa,33624-4162,FALSE
15661 Highway 9,CA,Boulder Creek,95006-9628,FALSE
1610 N Elva Ave,CA,Compton,90222-3236,FALSE
11154 Lemay St,CA,North Hollywood,91606-2009,FALSE
9571 Ethan Wade Way SE,WA,Snoqualmie,98065-9577,FALSE
11746 Stagg St,CA,North Hollywood,91605,FALSE
11 Cypress Ave,NY,Bethpage,11714,FALSE
20880 Isherwood Ter Apt 200,VA,Ashburn,20147-7792,FALSE
4665 Asher Hts,CO,Colorado Springs,80917-6408,FALSE
15426 Bay Lodge Ln,TX,Houston,77086-1133,FALSE
588 timpson pl,NY,bronx,10455,TRUE
2021 Grow Lane,TX,Austin,78754,FALSE
61 Bronxville Road,NY,Bronxville,10708,FALSE
110 Pine Ave,NY,Ossining,10562-3718,FALSE
1497 3 avenue apt 1B,NY,New York,10028,FALSE
3000 Ford Rd,PA,Bristol,19007,FALSE
1660 JESSAMINE AVE E,MN,SAINT PAUL,55106,FALSE
1107 Atherton Drive,CA,Tracy,95304,FALSE
1811 Donner Rd,CA,West Sacramento,95691-5279,FALSE
189 kneen st,CT,shelton,6484,FALSE
22760 SW 93rd Ct,FL,Cutler Bay,33190-1392,FALSE
2121 Cedar Avenue,NY,Bronx,10468,FALSE
1891 Bird Ave,CA,San Jose,95125-1826,FALSE
2506 Addison Creek Dr,FL,Kissimmee,34758-2350,FALSE
14306 Louisa St,VA,Woodbridge,22191-2531,FALSE
87 Ward St,CT,Hartford,06106-2408,FALSE
631 East 103rd Street,NY,Brooklyn,11236,FALSE
27 Grace St,NJ,Dover,7801,FALSE
1256 Calle La Cumbre,CA,Camarillo,93010-2977,FALSE
9442 NW 47th Ter,FL,Doral,33178-4001,FALSE
737 Miracle Dr,SC,Eutawville,29048-8864,FALSE
1329 W 96th St,CA,Los Angeles,90044-1811,FALSE
2016 Baker Drive,PA,Allentown,18103,FALSE
30320 June Rose Ct,CA,Castaic,91384-4737,FALSE
1624 Oak Street,LA,Pine Prairie,70576,FALSE
507 Circle Dr,TX,Arlington,76010-1328,FALSE
7202 Grenlock Dr,OH,Sylvania,43560-1100,FALSE
1364 8th Ave,IN,Terre Haute,47804-4106,FALSE
356 Eastlake Ave,NY,Massapequa Park,11762-1640,FALSE
6300 Connie Sue Ave,KY,Paducah,42001-9666,FALSE
7270 Diamond Canyon Lane,NV,LAS VEGAS,89149,FALSE
508 Witchduck Ln,VA,Richmond,23223-6116,FALSE
12029 Willow Ln,KS,Overland Park,66213-4226,FALSE
"2377 Main St, Unit A202",WA,Ferndale,98248,FALSE
5560 Shore Ct,FL,Orlando,32819-4048,FALSE
1250 SE 26th St,FL,Homestead,33035-2312,FALSE
619 Maple St,IL,Patoka,62875-1017,FALSE
7860 NE Hackamore Ct,WA,Bremerton,98311,FALSE
1464 fairmont road,AL,sylacauga,35150,FALSE
15211 Wabash Ave,IL,South Holland,60473-1070,FALSE
4100 Laurel Oak Rd,VA,North Chesterfield,23237-4306,FALSE
155 Jones Ln,TN,Ten Mile,37880-4758,FALSE
88 Horseshoe Hill Road,VA,Ruckersville,22968,FALSE
620 E 11th St,NY,New York,10009,FALSE
11154 Schoolhouse Rd,IN,Fishers,46037-4475,FALSE
4121 Kensington CV,GA,Atlanta,30349-2590,FALSE
1214 Urban Lofts Dr,TX,Dallas,75215-1930,FALSE
790 Buckeye St,CA,Corona,92881-3947,FALSE
3429 E Miriam Dr,CA,West Covina,91791-1722,FALSE
204 Southeast 3rd Street,FL,Okeechobee,34974,FALSE
112 CEDAR ST,TN,SWEETWATER,37874,FALSE
5089 Meadowlark Lane,CA,Paso Robles,93446,FALSE
1089 County Street 2976,OK,Blanchard,73010,FALSE
10295 Via Colomba Cir,FL,Fort Myers,33966-6554,FALSE
3443 Esplanade Ave,LA,New Orleans,70119-2927,FALSE
625 W Federal St,VA,Bedford,24523-2715,FALSE
6755 Obispo Ave,CA,Long Beach,90805-1941,FALSE
953 Grove Point Dr,GA,Hinesville,31313-6447,FALSE
315 S Hamsher St,IN,Garrett,46738-1320,FALSE
57881 718th St,MN,Jackson,56143-3248,FALSE
7818 Deer Run Rd,PA,Glenside,19038-7224,FALSE
5265 Highland Dr,WA,Bellevue,98006,FALSE
5953 Boxwood Ave,MI,Holt,48842-9650,FALSE
24 Furman Ave,NY,Brooklyn,11207-1729,FALSE
1572 Falcon Crest Dr NE,MI,Grand Rapids,49525-7009,FALSE
5542 W Lodestone Ave,UT,Salt Lake City,84118-8561,FALSE
235 fern st north,MN,Cambridge,55008,FALSE
5004 N 206th Ln.,AZ,Buckeye,85396,FALSE
135 Stafford Ct,GA,Fayetteville,30215-5461,FALSE
1720 Mayflower Ave,NY,Bronx,10461-4408,FALSE
8201 Fiddlesticks Ct,KY,Louisville,40291-4063,FALSE
16907 Enchanted Cir E,TX,Sugar Land,77498-4809,TRUE
7221 S Vernon Ave,IL,Chicago,60619-1716,FALSE
2300 Rachel Terrace,NJ,Pine Brook,7058,FALSE
919 Gillette Street,TX,Houston,77019,FALSE
29 Bog Rd Apt 58,NH,Concord,3303,FALSE
387 Plaza Blvd,PA,Morrisville,19067-6980,FALSE
35 Marshall St,NY,Buffalo,14211,FALSE
5106 Montauk Drive,IL,Plainfield,60586,FALSE
40 Seaview Ave,RI,Cranston,02905-3615,FALSE
335 Noel Rd,FL,Orange Park,32073-2544,FALSE
2427 SW 307th St,WA,Federal Way,98023-7858,FALSE
101 Homestead Dr,TX,Gatesville,76528-5726,FALSE
305 Prince Ln.,CA,Santa Ana,92704,FALSE
268 Chestnut Farm Way,MA,Raynham,2767,FALSE
1532 Charles Ave,CA,Arcata,95521-6812,FALSE
333 East 56th Apt. 7L,NY,New York,10022,FALSE
14900 Southwest Ruby Street,OR,Beaverton,97007,FALSE
121 Jackson St,TX,Elgin,78621-3413,FALSE
5512 W Congress Pkwy,IL,Chicago,60644-5011,FALSE
154 Stackhouse Street,PA,Johnstown,15906,FALSE
St Croix Apts 4635 Saint Croix Ln Apt 1212,FL,Naples,34109-3530,FALSE
370 Montague Road,MA,Sunderland,1375,FALSE
407 Wood Ln,MA,North Andover,1845,FALSE
1697 Poles Rd,MD,Baltimore,21221-2914,FALSE
7400 Penzance Blvd Apt 2001,FL,Fort Myers,33966-0636,FALSE
25384 M Jenkins Rd,LA,Angie,70426-3134,FALSE
4329 Clarissa Ave,CA,Los Angeles,90027,FALSE
35399 Lagoon Ln,DE,Millsboro,19966-5879,FALSE
14046 citrus drive,FL,Loxahatchee,33470,FALSE
90 Park Ave Ste 301,NJ,Florham Park,07932-1065,TRUE
15610 Stanbrook Drive,CA,La Mirada,90638,FALSE
400 Foxhurst Rd,NY,Oceanside,11572-2531,FALSE
71 Pleasant Hill Rd,VA,Harrisonburg,22801-5728,FALSE
6439 N. 40th St.,WI,Milwaukee,53209,FALSE
510 Davis Farm Drive,NC,Salisbury,28147,FALSE
43 Congress St,NH,Nashua,03062-3359,FALSE
5518 Silent Springs Drive,NV,Las Vegas,89122,FALSE
8622 Tanbark Dr,TX,San Antonio,78240,FALSE
12023 Ranchwell CV,TX,San Antonio,78249-3939,FALSE
386 w Harding,TX,San Antonio,78221,FALSE
845 E Mather,TX,New Braunfels,78130,FALSE
5879 Herma St,CA,San Jose,95123-3411,FALSE
326 Harriett,TX,San Antonio,78216,FALSE
1411 Virginia St,WA,Mount Vernon,98273-4848,FALSE
1926 18th Avenue,CA,Delano,93215,FALSE
81352 Avenida Esmeralda,CA,Indio,92201-9130,FALSE
15000 Park Row Dr.,TX,Houston,77084,FALSE
1741 N Hollywood Way,CA,Burbank,91505-1512,FALSE
2512 36th St,NY,Astoria,11103-4555,FALSE
6601 Broadway Apt E7,NJ,West New York,07093-3255,FALSE
4370 Calle de Vida,CA,San Diego,92124-2233,FALSE
406 watercrest st,FL,sebastian,32958,FALSE
5225 Verde Valley Ln 385,TX,Dallas,75254,FALSE
6801 S Blanca Ln,TX,Pharr,78577-6350,FALSE
2783 Red Rock Canyon Road,CA,Chula Vista,91915,FALSE
2515 Stanton St,TX,San Angelo,76901-1243,FALSE
14619 N State Road 15,IN,Silver Lake,46982-9423,FALSE
263 Rustic Willow,TX,Selma,78154,FALSE
107 New Orleans St,TX,Mission,78572-6357,FALSE
26836 Desert Locus St,CA,Murrieta,92562-7800,FALSE
4022 E Erie St,AZ,Gilbert,85295,FALSE
10168 orange st,CA,Rancho Cucamonga,91737,FALSE
48 Millar Ave,CA,San Jose,95127-2932,FALSE
3001 hahn Dr,CA,Modesto,95350,FALSE
1323 n maple st,CA,anaheim,92801,FALSE
163 north Broadway,NY,Yonkers,10701,FALSE
4226 O St,PA,Philadelphia,19124-4924,FALSE
1340 Thermal Ave,CA,San Diego,92154-2832,FALSE
34 Pond St,MA,Ashland,01721-2050,FALSE
8738 Aparicio Dr,TX,El Paso,79907-4906,FALSE
20323 Violeta Ave,CA,Lakewood,90715-1410,FALSE
18 East Westfield Ave,NJ,Roselle Park,7204,FALSE
4601 Sidereal Dr,TX,Austin,78727-5104,FALSE
16 Purington Ln,ME,Chesterville,04938-3238,FALSE
16083 Mission Rd.,MI,Baraga,49908,FALSE
98 Kay Street,RI,Cumberland,2864,FALSE
10955 Lost Lake Dr,FL,Naples,34105-3156,FALSE
634 North Highland Avenue Northeast,GA,Atlanta,30312,FALSE
28 Robert Oakes Dr,DE,Newark,19713,FALSE
16835 County Road 108,IN,Bristol,46507-9561,FALSE
552 Domino Lane,PA,Philadelphia,19128,FALSE
24 N Beechfield Ave,MD,Baltimore,21229-3432,FALSE
137 Spruce Ln,PA,Spring Mills,16875-8327,FALSE
3403 Columbia Road 27 S,AR,Magnolia,71753-8925,FALSE
10 Carriage Way,ME,Scarborough,04074-9622,FALSE
12437 Sombra Grande Dr,TX,El Paso,79938,FALSE
3216 Romero Rd,LA,Youngsville,70592,FALSE
3107 Heritage Hills Pkwy,OK,Claremore,74019-4902,FALSE
150 Lakeloch Dr,GA,Lizella,31052-3323,FALSE
588 hart church rd,KY,london,40744,FALSE
4910 Waycross Lane,TX,San Antonio,78220,FALSE
46 Spice Mill Blvd.,NY,Halfmoon,12065,FALSE
1345 N Leavitt St,IL,Chicago,60622-3570,FALSE
188 Myrtle Dr,FL,Wauchula,33873-7703,FALSE
28510 SW Ashland Dr,OR,Wilsonville,97070-7811,FALSE
7037 Wilson Ter,IL,Morton Grove,60053-1237,FALSE
289 E Tennyson Ave,UT,Sandy,84070-0126,FALSE
2816 Loch Haven Drive,TX,Plano,75023,FALSE
302 S Miraleste Dr,CA,San Pedro,90732-3020,FALSE
4479 Niobe Circle,CA,Rancho Cordova,95742,FALSE
65 Br Five Dr,NC,Leicester,28748-5220,FALSE
3S074 Arboretum Rd,IL,Glen Ellyn,60137-7324,FALSE
819 Connecticut ave,CT,Bridgeport,6607,FALSE
